label,endpoint,run,concurrency,requests,duration,success_rate,rps,average_ms,p50_ms,p95_ms,p99_ms,status_codes
Silta,/rates,2,50,,5s,100.0,7022.843700882412,7.12,6.725,10.305,18.812,"{""200"": 35080}"
Silta,/rates,1,100,,5s,100.0,6576.504222966633,15.22,14.148,21.181,46.925,"{""200"": 32801}"
Silta,/rates,2,100,,5s,100.0,6306.341884720204,15.879,14.914,21.918,46.526,"{""200"": 31451}"
Silta,/rates,1,200,,5s,100.0,6148.2138361984225,32.589,30.144,56.239,82.512,"{""200"": 30569}"
Silta,/rates,2,200,,5s,100.0,6791.24166703909,29.482,28.142,39.493,72.496,"{""200"": 33778}"
FastAPI,/rates,1,1,,5s,100.0,1265.277733761211,0.789,0.712,1.053,2.556,"{""200"": 6327}"
FastAPI,/rates,2,1,,5s,100.0,1061.4305426138717,0.941,0.766,1.827,3.168,"{""200"": 5307}"
FastAPI,/rates,1,10,,5s,100.0,2898.756572859295,3.449,3.179,4.148,11.664,"{""200"": 14487}"
FastAPI,/rates,2,10,,5s,100.0,2886.8574077441717,3.463,3.203,4.586,8.892,"{""200"": 14432}"
FastAPI,/rates,1,50,,5s,100.0,2855.407332709213,17.533,16.82,20.864,44.153,"{""200"": 14239}"
FastAPI,/rates,2,50,,5s,100.0,2719.5444086758516,18.407,17.062,24.607,46.204,"{""200"": 13551}"
FastAPI,/rates,1,100,,5s,100.0,2725.642947622052,36.844,35.854,47.054,93.811,"{""200"": 13535}"
FastAPI,/rates,2,100,,5s,100.0,2713.1470196944724,37.004,35.747,52.333,90.313,"{""200"": 13473}"
FastAPI,/rates,1,200,,5s,100.0,2734.2791188488336,73.572,71.083,119.167,200.378,"{""200"": 13485}"
FastAPI,/rates,2,200,,5s,100.0,2638.9435836993657,76.135,73.166,127.061,269.443,"{""200"": 13007}"
